timestamp,ear_left,ear_right,ear_avg,perclos,status
12:38:50.402,0.2720,0.2747,0.2733,0.0000,normal
12:38:50.433,0.2720,0.2872,0.2796,0.0000,normal
12:38:50.467,0.2720,0.2747,0.2733,0.0000,normal
12:38:50.496,0.2720,0.2695,0.2707,0.0000,normal
12:38:50.528,0.2720,0.2747,0.2733,0.0000,normal
12:38:50.560,0.2720,0.2642,0.2681,0.0000,normal
12:38:50.600,0.2717,0.2642,0.2680,0.0000,normal
12:38:50.628,0.2720,0.2642,0.2681,0.0000,normal
12:38:50.663,0.2854,0.2215,0.2534,0.0000,normal
12:38:50.691,0.1303,0.1164,0.1233,0.1000,normal
12:38:50.722,0.1007,0.0731,0.0869,0.1818,drowsy
12:38:50.770,0.1004,0.0647,0.0825,0.2500,drowsy
12:38:50.801,0.0770,0.0431,0.0600,0.3077,drowsy
12:38:50.834,0.1189,0.1216,0.1202,0.3571,drowsy
12:38:50.867,0.1570,0.1866,0.1718,0.4000,drowsy
12:38:50.901,0.2080,0.2586,0.2333,0.4375,drowsy
12:38:50.935,0.2339,0.2373,0.2356,0.4706,drowsy
12:38:50.965,0.2599,0.2586,0.2592,0.4444,drowsy
12:38:50.996,0.2466,0.2485,0.2475,0.4737,drowsy
12:38:51.026,0.2339,0.2422,0.2381,0.5000,drowsy
12:38:51.057,0.2339,0.2373,0.2356,0.5238,drowsy
12:38:51.091,0.2599,0.2380,0.2490,0.5455,drowsy
12:38:51.145,0.2599,0.2380,0.2490,0.5652,drowsy
12:38:51.175,0.2599,0.2315,0.2457,0.5833,drowsy
12:38:51.202,0.0948,0.0706,0.0827,0.6000,drowsy
12:38:51.235,0.0999,0.0862,0.0931,0.6154,drowsy
12:38:51.268,0.0476,0.0647,0.0561,0.6296,drowsy
12:38:51.301,0.0951,0.1578,0.1265,0.6429,drowsy
12:38:51.330,0.2094,0.2380,0.2237,0.6552,drowsy
12:38:51.362,0.2879,0.2872,0.2875,0.6333,drowsy
12:38:51.394,0.3141,0.2954,0.3047,0.6129,drowsy
12:38:51.427,0.2488,0.2539,0.2513,0.5938,drowsy
12:38:51.457,0.2628,0.2765,0.2696,0.5758,drowsy
12:38:51.509,0.2891,0.2874,0.2882,0.5588,drowsy
12:38:51.539,0.3006,0.3346,0.3176,0.5429,drowsy
12:38:51.570,0.3513,0.3101,0.3307,0.5278,drowsy
12:38:51.602,0.3284,0.2864,0.3074,0.5135,drowsy
12:38:51.635,0.3288,0.2864,0.3076,0.5000,drowsy
12:38:51.675,0.2954,0.3252,0.3103,0.4872,drowsy
12:38:51.701,0.2951,0.3098,0.3024,0.4750,drowsy
12:38:51.736,0.3413,0.3317,0.3365,0.4634,drowsy
12:38:51.761,0.3284,0.3274,0.3279,0.4524,drowsy
12:38:51.796,0.3086,0.3187,0.3137,0.4419,drowsy
12:38:51.830,0.3147,0.3187,0.3167,0.4318,drowsy
12:38:51.865,0.3225,0.3090,0.3157,0.4222,drowsy
12:38:51.906,0.3225,0.3432,0.3328,0.4130,drowsy
12:38:51.946,0.3175,0.3432,0.3304,0.4043,drowsy
12:38:51.974,0.3225,0.2910,0.3068,0.3958,drowsy
12:38:52.005,0.3008,0.2931,0.2969,0.3878,drowsy
12:38:52.036,0.2998,0.2910,0.2954,0.3800,drowsy
12:38:52.070,0.2998,0.3449,0.3224,0.3725,drowsy
12:38:52.105,0.3127,0.3111,0.3119,0.3654,drowsy
12:38:52.139,0.2981,0.2962,0.2972,0.3585,drowsy
12:38:52.170,0.2913,0.3030,0.2972,0.3519,drowsy
12:38:52.197,0.3147,0.3170,0.3158,0.3455,drowsy
12:38:52.229,0.2913,0.2942,0.2927,0.3393,drowsy
12:38:52.276,0.1583,0.1871,0.1727,0.3509,drowsy
12:38:52.309,0.0939,0.0901,0.0920,0.3621,drowsy
12:38:52.341,0.0939,0.0901,0.0920,0.3729,drowsy
12:38:52.383,0.1000,0.1169,0.1085,0.3833,drowsy
12:38:52.408,0.1046,0.1118,0.1082,0.3934,drowsy
12:38:52.436,0.0939,0.0943,0.0941,0.4032,drowsy
12:38:52.469,0.0991,0.0943,0.0967,0.4127,drowsy
12:38:52.504,0.0991,0.0943,0.0967,0.4219,drowsy
12:38:52.532,0.1196,0.0943,0.1069,0.4308,drowsy
12:38:52.565,0.0535,0.0901,0.0718,0.4394,drowsy
12:38:52.600,0.0717,0.0901,0.0809,0.4478,drowsy
12:38:52.650,0.0809,0.0901,0.0855,0.4559,drowsy
12:38:52.674,0.0757,0.0954,0.0855,0.4638,drowsy
12:38:52.712,0.0809,0.1007,0.0908,0.4714,drowsy
12:38:52.739,0.0535,0.0769,0.0652,0.4789,drowsy
12:38:52.768,0.0627,0.1054,0.0840,0.4861,drowsy
12:38:52.804,0.0809,0.0450,0.0630,0.4932,drowsy
12:38:52.833,0.1337,0.1217,0.1277,0.5000,drowsy
12:38:52.867,0.1010,0.1213,0.1111,0.5067,drowsy
12:38:52.900,0.1038,0.1196,0.1117,0.5132,drowsy
12:38:52.929,0.0995,0.1236,0.1115,0.5195,drowsy
12:38:52.961,0.1207,0.1392,0.1300,0.5256,drowsy
12:38:53.018,0.1414,0.1468,0.1441,0.5316,drowsy
12:38:53.042,0.1612,0.1442,0.1527,0.5375,drowsy
12:38:53.078,0.0831,0.1154,0.0993,0.5432,drowsy
12:38:53.107,0.1385,0.1378,0.1381,0.5488,drowsy
12:38:53.137,0.1350,0.1041,0.1196,0.5542,drowsy
12:38:53.171,0.1100,0.1183,0.1141,0.5595,drowsy
12:38:53.201,0.0783,0.0995,0.0889,0.5647,drowsy
12:38:53.240,0.0812,0.0980,0.0896,0.5698,drowsy
12:38:53.266,0.0971,0.1183,0.1077,0.5747,drowsy
